Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Brazil|Revista Dental Press de Ortodontia e Ortopedia Facial||Rev. Dent. Press Ortodon. Ortop. Facial|dpress|1415-5419|1415-5419|1980-5500|Dental Press Editora|by-nc/4.0
Colombia|Revista Derecho del Estado||Rev. Derecho Estado|rdes|0122-9893|0122-9893||Universidad Externado de Colombia
Portugal|Revista Diacrítica||Diacrítica|dia|0807-8967|0807-8967||Centro de Estudos Humanísticos da Universidade do Minho|by/4.0
Brazil|Revista Direito GV||Rev. direito GV|rdgv|1808-2432|1808-2432|2317-6172|Fundação Getúlio Vargas, Escola de Direito|by-nc/4.0
Brazil|Revista do Colégio Brasileiro de Cirurgiões|Rev Col Bras Cir|Rev. Col. Bras. Cir.|rcbc|0100-6991|0100-6991|1809-4546|Colégio Brasileiro de Cirurgiões|by/4.0
Brazil|Revista do Departamento de Psicologia. UFF||Rev. Dep. Psicol.,UFF|rdpsi|0104-8023|0104-8023||Universidade Federal Fluminense, Departamento de Psicologia|by-nc/4.0
Pepsic|Revista do Departamento de Psicologia. UFF||Rev. Dep. Psicol.,UFF|rdpsi|0104-8023|0104-8023||Universidade Federal Fluminense, Departamento de Psicologia|by-nc/4.0
Brazil|Revista do Hospital das Clínicas|Rev. Hosp. Clin. Fac. Med. Univ. São Paulo|Rev. Hosp. Clin.|rhc|0041-8781|0041-8781|1678-9903|Faculdade de Medicina / Universidade de São Paulo - FM/USP|by-nc/4.0
Brazil|Revista do Instituto de Estudos Brasileiros||Rev. Inst. Estud. Bras.|rieb|0020-3874|0020-3874|2316-901X|Instituto de Estudos Brasileiros|by-nc/4.0
Brazil|Revista do Instituto de Medicina Tropical de São Paulo|Rev Inst Med Trop Sao Paulo|Rev. Inst. Med. trop. S. Paulo|rimtsp|0036-4665|0036-4665|1678-9946|Instituto de Medicina Tropical|by-nc/4.0
Pepsic|Revista do NUFEN||Rev. NUFEN|rnufen|2175-2591||2175-2591|Universidade Federal do Pará. Núcleo de Pesquisas Fenomenológicas
Brazil|Revista Dor||Rev. dor|rdor|1806-0013|1806-0013|2317-6393|Sociedade Brasileira para o Estudo da Dor|by/4.0
Colombia|Revista EAN||Rev. esc.adm.neg|ean|0120-8160||0120-8160|Universidad EAN
Colombia|Revista EIA||Rev.EIA.Esc.Ing.Antioq|eia|1794-1237|1794-1237||Escuela de ingenieria de Antioquia
Mexico|Revista electrónica de investigación educativa||REDIE|redie|1607-4041||1607-4041|Universidad Autónoma de Baja California, Instituto de Investigación y Desarrollo Educativo|by-nc/3.0
Argentina|Revista electrónica de investigación en educación en ciencias||Rev. electrón. investig. educ. cienc.|reiec|1850-6666||1850-6666|Facultad de Ciencias Exactas. Universidad Nacional del Centro de la Provincia de Buenos Aires y el Núcleo de Investigación en Educación en Ciencias y Tecnología (NIECyT)|by-nc/4.0
Pepsic|Revista electrónica de psicología política||Rev. electrón. psicol. polít. (En línea)|repp|1669-3582||1669-3582|Universidad Nacional de San Luis
Costa Rica|Revista Electrónica Educare||Educare|ree|1409-4258||1409-4258|Universidad Nacional. CIDE|by-nc/3.0
Pepsic|Revista Eletrônica de Psicologia e Políticas Públicas||Rev. Eletrônica Psicol. Polít. Públicas|repsipp|1984-9079||1984-9079|Conselho Regional de Psicologia 9a. Região|by-nc/4.0
Portugal|Revista Encontros Científicos - Tourism & Management Studies||Encontros Científicos|ec|1646-2408|1646-2408||Escola Superior de Gestão, Hotelaria e Turismo
Pepsic|Revista EPOS||Rev. Epos|epos|2178-700X||2178-700X|Universidade do Estado do Rio de Janeiro, Instituto de Medicina Social|by-nc/4.0
Argentina|Revista Escuela de Historia||Rev. Esc. Hist.|reh|1669-9041||1669-9041|Universidad Nacional de Salta. Facultad de Humanidades. Escuela de Historia|by-nc/4.0
Spain|Revista Española de Cirugía Oral y Maxilofacial||Rev Esp Cirug Oral y Maxilofac|maxi|1130-0558|1130-0558||Sociedad Española de Cirugía Oral y Maxilofacial
Spain|Revista Española de Enfermedades Digestivas|Rev Esp Enferm Dig|Rev. esp. enferm. dig.|diges|1130-0108|1130-0108||Sociedad Española de Patología Digestiva
Public Health|Revista Española de Salud Pública||Rev. Esp. Salud Publica|resp|1135-5727|1135-5727||Ministerio de Sanidad y Consumo|by-nc/3.0
Spain|Revista Española de Salud Pública||Rev. Esp. Salud Publica|resp|1135-5727|1135-5727||Ministerio de Sanidad, Servicios Sociales e Igualdad
Spain|Revista Española de Sanidad Penitenciaria||Rev. esp. sanid. penit.|sanipe|1575-0620|1575-0620||Sociedad Española de Sanidad Penitenciaria
Peru|Revista Estomatológica Herediana||Rev. Estomatol. Herediana|reh|1019-4355|1019-4355||Universidad Peruana Cayetano Heredia. Facultad de Estomatología|by-nc/4.0
Brazil|Revista Estudos Feministas||Rev. Estud. Fem.|ref|0104-026X|0104-026X|1805-9584|Centro de Filosofia e Ciências Humanas e Centro de Comunicação e Expressão da Universidade Federal de Santa Catarina|by/4.0
Pepsic|Revista Estudos Lacanianos||Rev. Estud. Lacan.|rel|1983-0769|1983-0769||Laboratório de Psicanálise da Faculdade de Filosofia e Ciências Humanas da UFMG|by/4.0
Colombia|Revista Facultad de Ciencias Económicas: Investigación y Reflexión||Rev.fac.cienc.econ.|rfce|0121-6805|0121-6805||Facultad de Ciencias Económicas Universidad Militar Nueva Granada
Chile|Revista Facultad de Ingeniería - Universidad de Tarapacá||Rev. Fac. Ing. - Univ. Tarapacá|rfacing|0718-1337||0718-1337|Universidad de Tarapacá|by-nc/4.0
Colombia|Revista Facultad de Ingeniería Universidad de Antioquia||Rev.fac.ing.univ. Antioquia|rfiua|0120-6230|0120-6230||Facultad de Ingeniería, Universidad de Antioquia
Colombia|Revista Facultad de Odontología Universidad de Antioquia||Rev Fac Odontol Univ Antioq|rfoua|0121-246X|0121-246X||Universidad de Antioquia
Colombia|Revista Facultad Nacional de Agronomía, Medellín||Rev.Fac.Nal.Agr.Medellín|rfnam|0304-2847|0304-2847||Facultad de Ciencias Agropecuarias - Universidad Nacional de Colombia, Sede Medellín|by/4.0
Colombia|Revista Facultad Nacional de Salud Pública||Rev. Fac. Nac. Salud Pública|rfnsp|0120-386X|0120-386X||Universidad de Antioquia|by/4.0
Colombia|Revista Finanzas y Política Económica||Finanz. polit. econ.|fype|2248-6046|2248-6046||Universidad Católica de Colombia
Mexico|Revista fitotecnia mexicana||Rev. fitotec. mex|rfm|0187-7380|0187-7380||Sociedad Mexicana de Fitogenética A.C.|by-nc/3.0
Social Sciences|Revista Fuerzas Armadas y Sociedad||Rev. fuerzas armadas soc.|s_rfas|0717-1498|0717-1498||Facultad Latinoamericana de Ciencias Sociales|by-nc/4.0
Brazil|Revista Gaúcha de Enfermagem|Rev Gaucha Enferm.|Rev. Gaúcha Enferm.|rgenf|1983-1447||1983-1447|Universidade Federal do Rio Grande do Sul. Escola de Enfermagem|by-nc/4.0
Costa Rica|Revista Geológica de América Central||Rev. Geol. Amér. Central|rgac|0256-7024|0256-7024||Universidad de Costa Rica|by-nc/3.0
Chile|Revista geológica de Chile||Rev. geol. Chile|rgch|0716-0208|0716-0208||Servicio Nacional de Geología y Minería (SERNAGEOMIN)|by-nc/4.0
Colombia|Revista Gerencia y Políticas de Salud||Rev. Gerenc. Polit. Salud|rgps|1657-7027|1657-7027||Pontificia Universidad Javeriana
Cuba|Revista Habanera de Ciencias Médicas||Rev haban cienc méd|rhcm|1729-519X||1729-519X|Universidad de Ciencias Médicas de la Habana|by-nc/4.0
Colombia|Revista Historia de la Educación Latinoamericana||Rev.hist.educ.latinoam.|rhel|0122-7238|0122-7238||Universidad Pedagógica de Colombia - UPTC
Colombia|Revista Historia y Sociedad||Hist. Soc.|hiso|0121-8417|0121-8417||Facultad de Ciencias Humanas y Económicas de la Universidad Nacional de Colombia, Sede Medellín|by/4.0
Argentina|Revista iberoamericana de ciencia tecnología y sociedad||Rev. iberoam. cienc. tecnol. soc.|cts|1850-0013||1850-0013|Organización de Estados Iberoamericanos (OEI), el Centro de Estudios sobre Ciencia, Desarrollo y Educación Superior - REDES (Argentina) y el Instituto Universitario de Estudios de la Ciencia y la Tecnología de la Universidad de Salamanca (España)|by-nc/4.0
Mexico|Revista iberoamericana de educación superior||Rev. iberoam. educ. super|ries|2007-2872||2007-2872|Universidad Nacional Autónoma de México, Instituto de Investigaciones sobre la Universidad y la Educación; Universia|by-nc/3.0
Argentina|Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología||Rev. iberoam. tecnol. educ. educ. tecnol.|ritet|1850-9959||1850-9959|Red de Universidades Nacionales con Carreras de Informática|by-nc/4.0
Brazil|Revista IBRACON de Estruturas e Materiais||Rev. IBRACON Estrut. Mater.|riem|1983-4195||1983-4195|IBRACON - Instituto Brasileiro do Concreto|by/4.0
Argentina|Revista industrial y agrícola de Tucumán||Rev. ind. agric. Tucumán|riat|1851-3018||1851-3018|Estación Experimental Agroindustrial "Obispo Colombres"|by-nc/4.0
Chile|Revista ingeniería de construcción||Rev. ing. constr.|ric|0718-5073||0718-5073|Pontificia Universidad Católica de Chile. Departamento de Ingeniería y Gestión de la Construcción|by/4.0
Colombia|Revista Ingenierías Universidad de Medellín||Rev. ing. univ. Medellín|rium|1692-3324|1692-3324||Universidad de Medellín
Bolivia|Revista Integra Educativa||Rev. de Inv. Educ.|rieiii|1997-4043||1997-4043|Instituto Internacional de Integración|by-nc-sa/4.0
Colombia|Revista Integración||Integración - UIS|rein|0120-419X|0120-419X||Universidad Industrial de Santander|by-nc/4.0
Colombia|Revista Interamericana de Bibliotecología||Rev. Interam. Bibliot|rib|0120-0976|0120-0976||Escuela Interamericana de Bibliotecología
Mexico|Revista internacional de contaminación ambiental||Rev. Int. Contam. Ambient|rica|0188-4999|0188-4999||Centro de Ciencias de la Atmósfera, UNAM|by-nc/3.0
Chile|Revista INVI||Revista INVI|invi|0718-8358||0718-8358|Universidad de Chile. Facultad de Arquitectura y Urbanismo. Instituto de la Vivienda|by-nc-sa/4.0
Colombia|Revista ION||Rev. ion|rion|0120-100X|0120-100X||Universidad Industrial de Santander
Mexico|Revista IUS||Rev. IUS|rius|1870-2147|1870-2147||Instituto de Ciencias Jurídicas de Puebla, Departamento de Investigaciones|by-nc/3.0
Pepsic|Revista Kairós||Rev. kairós|kairos|1516-2567|1516-2567||Pontifícia Universidade Católica de São Paulo|by-nc/4.0
Brazil|Revista Katálysis||Rev. katálysis|rk|1414-4980|1414-4980|1982-0259|Programa de Pós-Graduação em Serviço Social e Curso de Graduação em Serviço Social da Universidade Federal de Santa Catarina|by/4.0
Colombia|Revista Lasallista de Investigación||Rev. Lasallista Investig.|rlsi|1794-4449|1794-4449||Corporación Universitaria Lasallista
Brazil|Revista Latino-Americana de Enfermagem|Rev Lat Am Enfermagem|Rev. Latino-Am. Enfermagem|rlae|0104-1169|0104-1169|1518-8345|Escola de Enfermagem de Ribeirão Preto / Universidade de São Paulo|by/4.0
Colombia|Revista Latinoamericana de Bioética||rev.latinoam.bioet.|rlb|1657-4702|1657-4702||Universidad Militar Nueva Granada
Colombia|Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud||Rev.latinoam.cienc.soc.niñez juv|rlcs|1692-715X|1692-715X||Centro de Estudios Avanzados en Niñez y Juventud Cinde - Universidad de Manizales
Mexico|Revista latinoamericana de derecho social||Rev. latinoam. derecho soc|rlds|1870-4670|1870-4670||Universidad Nacional Autónoma de México, Instituto de Investigaciones Jurídicas|by-nc/3.0
Bolivia|Revista Latinoamericana de Desarrollo Económico||rlde|rlde|2074-4706||2074-4706|Universidad Católica Boliviana "San Pablo"|by-nc-sa/4.0
Argentina|Revista latinoamericana de filosofía||Rev. latinoam. filos.|rlf|1852-7353||1852-7353|Centro de Investigaciones Filosóficas|by-nc/4.0
Mexico|Revista latinoamericana de investigación en matemática educativa||Relime|relime|1665-2436|1665-2436|2007-6819|Comité Latinoamericano de Matemática Educativa|by-nc/3.0
Venezuela|Revista Latinoamericana de Metalurgia y Materiales||Rev. LatinAm. Metal. Mater.|rlmm|0255-6952|0255-6952||Universidad Simón Bolívar
Colombia|Revista Latinoamericana de Psicología||rev.latinoam.psicol.|rlps|0120-0534|0120-0534||Fundación Universitaria Konrad Lorenz|by/4.0
Pepsic|Revista Latinoamericana de Psicología||Rev. Latinoam. Psicol.|rlp|0120-0534|0120-0534||Fundación Universitaria Konrad Lorenz
Brazil|Revista Latinoamericana de Psicopatologia Fundamental||Rev. latinoam. psicopatol. fundam.|rlpf|1415-4714|1415-4714|1984-0381|Associação Universitária de Pesquisa em Psicopatologia Fundamental|by-nc/4.0
Pepsic|Revista Latinoamericana de Psicopatologia Fundamental||Rev. latinoam. psicopatol. fundam.|rlpf|1415-4714|1415-4714||Associação Universitária de Pesquisa em Psicopatologia Fundamental|by-nc/4.0
Mexico|Revista latinoamericana de química||Rev. latinoam. quím|rlq|0370-5943|0370-5943||Laboratorios Mixim S.A.|by-nc/3.0
Portugal|Revista Lusófona de Educação||Rev. Lusófona de Educação|rle|1645-7250|1645-7250||Centro de Estudos e Intervenção em Educação e Formação (CeiEF)|by-nc/4.0
Pepsic|Revista Mal Estar e Subjetividade||Rev.Mal-Estar Subj|malestar|1518-6148|1518-6148||Universidade de Fortaleza|by-nc/4.0
Colombia|Revista Med||rev.fac.med|med|0121-5256|0121-5256||Universidad Militar Nueva Granada. Facultad de Medicina
Peru|Revista Medica Herediana||Rev Med Hered|rmh|1018-130X|1018-130X|1729-214X|Universidad Peruana Cayetano Heredia. Facultad de Medicina "Alberto Hurtado"
Mexico|Revista mexicana de análisis de la conducta||Rev. mex. anál. conducta|rmac|0185-4534|0185-4534||Sociedad Mexicana de Análisis de la Conducta|by-nc/3.0
Mexico|Revista mexicana de astronomía y astrofísica||Rev. mex. astron. astrofis|rmaa|0185-1101|0185-1101||Instituto de Astronomía, UNAM|by-nc/3.0
Mexico|Revista mexicana de biodiversidad||Rev. Mex. Biodiv.|rmbiodiv|1870-3453|1870-3453|2007-8706|Instituto de Biología|by-nc/3.0
Mexico|Revista mexicana de cardiología||Rev. Mex. Cardiol|rmc|0188-2198|0188-2198||Asociación Nacional de Cardiólogos de México, Sociedad de Cardiología Intervencionista de México|by-nc/3.0
Mexico|Revista mexicana de ciencias agrícolas||Rev. Mex. Cienc. Agríc|remexca|2007-0934|2007-0934||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias|by-nc/3.0
Mexico|Revista mexicana de ciencias farmacéuticas||Rev. mex. cienc. farm|rmcf|1870-0195|1870-0195||Asociación Farmacéutica Mexicana A.C.|by-nc/3.0
Mexico|Revista mexicana de ciencias forestales||Rev. mex. de cienc. forestales|remcf|2007-1132|2007-1132||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias|by-nc/3.0
Mexico|Revista mexicana de ciencias geológicas||Rev. mex. cienc. geol|rmcg|1026-8774|1026-8774|2007-2902|Instituto de Geología, UNAM|by-nc/3.0
Mexico|Revista mexicana de ciencias pecuarias||Rev. mex. de cienc. pecuarias|rmcp|2007-1124|2007-1124||Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias|by-nc/3.0
Mexico|Revista mexicana de ciencias políticas y sociales||Rev. mex. cienc. polít. soc|rmcps|0185-1918|0185-1918||UNAM, Facultad de Ciencias Políticas y Sociales, División de Estudios de Posgrado|by-nc/3.0
Mexico|Revista mexicana de economía y finanzas||Rev. mex. econ. finanz|rmef|1665-5346|1665-5346||Instituto Mexicano de Ejecutivos de Finanzas, A. C.|by-nc/3.0
Mexico|Revista mexicana de fitopatología||Rev. mex. fitopatol|rmfi|0185-3309|0185-3309|2007-8080|Sociedad Mexicana de Fitopatología A.C.|by-nc/3.0
Mexico|Revista mexicana de física E||Rev. mex. fís. E|rmfe|1870-3542|1870-3542||Sociedad Mexicana de Física|by-nc/3.0
Mexico|Revista mexicana de física||Rev. mex. fis.|rmf|0035-001X|0035-001X||Sociedad Mexicana de Física|by-nc/3.0
Mexico|Revista mexicana de ingeniería biomédica||Rev. mex. ing. bioméd|rmib|0188-9532|0188-9532|2395-9126|Sociedad Mexicana de Ingeniería Biomédica|by-nc/3.0
Mexico|Revista mexicana de ingeniería química||Rev. Mex. Ing. Quím|rmiq|1665-2738|1665-2738||UAM, Unidad Iztapalapa, División de Ciencias Básicas e Ingeniería|by-nc/3.0
Mexico|Revista mexicana de investigación educativa||RMIE|rmie|1405-6666|1405-6666||Consejo Mexicano de Investigación Educativa A.C.|by-nc/3.0
Mexico|Revista mexicana de micología||Rev. Mex. Mic|rmm|0187-3180|0187-3180||Sociedad Mexicana de Micología|by-nc/3.0
Pepsic|Revista Mexicana de Orientación Educativa||Rev. Mex. Orient. Educ.|remo|1665-7527|1665-7527||Centro de Investigación y Formación para la Docencia y Orientación Educativa
Mexico|Revista mexicana de sociología||Rev. Mex. Sociol|rms|0188-2503|0188-2503||Instituto de Investigaciones Sociales, UNAM|by-nc/3.0
Mexico|Revista mexicana de trastornos alimentarios||Rev. Mex. de trastor. aliment|rmta|2007-1523||2007-1523|Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Iztacala, Unidad de Investigación Interdisciplinaria en Ciencias de la Salud y la Educación|by-nc/3.0
Chile|Revista musical chilena||Rev. music. chil.|rmusic|0716-2790|0716-2790||Universidad de Chile, Facultad de Artes|by-nc/4.0
Colombia|Revista MVZ Córdoba||Rev.MVZ Cordoba|mvz|0122-0268|0122-0268||Universidad de Córdoba – Facultad de Medicina Veterinaria y Zootecnia.
Chile|Revista médica de Chile|Rev Med Chil|Rev. méd. Chile|rmc|0034-9887|0034-9887||Sociedad Médica de Santiago|by/4.0
Colombia|Revista Médica de Risaralda||Revista médica Risaralda|rmri|0122-0667|0122-0667||Universidad Tecnológica de Pereira
Costa Rica|Revista Médica del Hospital Nacional de Niños Dr. Carlos Sáenz Herrera||Rev. méd. Hosp. Nac. Niños (Costa Rica)|rmhnn|1017-8546|1017-8546||Editorial Nacional de Salud y Seguridad Social
Uruguay|Revista Médica del Uruguay||Rev. Méd. Urug.|rmu|1688-0390||1688-0390|Sindicato Médico del Uruguay|by-nc/4.0
Cuba|Revista Médica Electrónica||Rev.Med.Electrón.|rme|1684-1824||1684-1824|CENTRO PROVINCIAL DE INFORMACIÓN DE CIENCIAS MÉDICAS. MATANZAS|by-nc/4.0
Bolivia|Revista Médica La Paz||Rev. Méd. La Paz|rmcmlp|1726-8958||1726-8958|Colegio Médico de La Paz|by-nc-sa/4.0
Cuba|Revista Novedades en Población||Rev Nov Pob|rnp|1817-4078||1817-4078|Centro de Estudios Demográficos/UH|by-nc/4.0
Portugal|Revista Nutrícias||Nutrícias|nut|2182-7230|2182-7230||Associação Portuguesa dos Nutricionistas|by-nc/4.0
Brazil|Revista Odonto Ciência||Rev. odonto ciênc.|roc|1980-6523||1980-6523|Pontifícia Universidade Católica do Rio Grande do Sul|by-nc/4.0
Mexico|Revista odontológica mexicana||Rev. Odont. Mex|rom|1870-199X|1870-199X||Universidad Nacional Autónoma de México, Facultad de Odontología|by-nc/3.0
Colombia|Revista Opinión Jurídica||Opin. jurid.|ojum|1692-2530|1692-2530||Universidad de Medellín
Public Health|Revista Panamericana de Salud Pública||Rev Panam Salud Publica|rpsp|1020-4989|1020-4989||Organización Panamericana de la Salud|by-nc/3.0
Brazil|Revista Paulista de Pediatria|Rev Paul Pediatr|Rev. paul. pediatr.|rpp|0103-0582|0103-0582|1984-0462|Sociedade de Pediatria de São Paulo|by/4.0
Bolivia|Revista Perspectivas||Perspectivas|rp|1994-3733||1994-3733|Universidad Católica Boliviana San Pablo, Unidad Académica Regional Cochabamba|by-nc-sa/4.0
Peru|Revista Peruana de Biología||Rev. peru biol.|rpb|1727-9933||1727-9933|Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Biológicas|by-nc/4.0
Peru|Revista Peruana de Ginecología y Obstetricia||Rev. peru. ginecol. obstet.|rgo|2304-5132||2304-5132|Sociedad Peruana de Obstetricia y Ginecología|by-nc/4.0
Peru|Revista Peruana de Medicina Experimental y Salud Publica||Rev. perú. med. exp. salud publica|rins|1726-4634|1726-4634||Instituto Nacional de Salud|by-nc/4.0
Public Health|Revista Peruana de Medicina Experimental y Salud Pública||Rev Peru Med Exp Salud Publica|rpmesp|1726-4634|1726-4634||Instituto Nacional de Salud
Argentina|Revista Pilquen||Rev. Pilquen. secc. cienc. soc.|spilquen|1851-3123||1851-3123|Centro Regional Zona Atlántica, Universidad Nacional del Comahue|by-nc/4.0
Portugal|Revista Portuguesa de Cirurgia||Rev. Port. Cir.|rpc|1646-6918|1646-6918||Sociedade Portuguesa de Cirurgia|by-nc/4.0
Portugal|Revista Portuguesa de Ciências do Desporto||Rev. Port. Cien. Desp.|rpcd|1645-0523|1645-0523||Faculdade de Desporto da Universidade do Porto|by/4.0
Portugal|Revista Portuguesa de Clínica Geral||Rev Port Clin Geral|rpcg|0870-7103|0870-7103||Associação Portuguesa dos Médicos de Clínica Geral
Portugal|Revista Portuguesa de Educação||Rev. Port. de Educação|rpe|0871-9187|0871-9187||Centro de Investigação em Educação. Instituto de Educação da Universidade do Minho|by/4.0
Portugal|Revista Portuguesa de Enfermagem de Saúde Mental||Revista Portuguesa de Enfermagem de Saúde Mental|rpesm|1647-2160|1647-2160||Sociedade Portuguesa de Enfermagem de Saúde Mental|by-nc/4.0
Portugal|Revista Portuguesa de História do Livro||Rev. Port. de História do Livro|rphl|0874-1336|0874-1336||Centro de Estudos de História do Livro e da Edição (Associação)- CEHLE
Portugal|Revista Portuguesa de Imunoalergologia||Rev Port Imunoalergologia|imu|0871-9721|0871-9721||Sociedade Portuguesa de Alergologia e Imunologia Clínica|by-nc/4.0
Portugal|Revista Portuguesa de Medicina Geral e Familiar||Rev Port Med Geral Fam|rpmgf|2182-5173|2182-5173||Associação Portuguesa de Medicina Geral e Familiar|by-nc/4.0
Portugal|Revista Portuguesa de Ortopedia e Traumatologia||Rev. Port. Ortop. Traum.|rpot|1646-2122|1646-2122||Sociedade Portuguesa de Ortopedia e Traumatologia|by-nc/4.0
Portugal|Revista Portuguesa de Pneumologia||Rev Port Pneumol|pne|0873-2159|0873-2159||Sociedade Portuguesa de Pneumologia
Portugal|Revista Portuguesa de Psicossomática||Rev. Port. Psicossomática|rpp|0874-4696|0874-4696||Sociedade Portuguesa de Psicossomática
Portugal|Revista Portuguesa de Saúde Pública||Rev. Port. Sau. Pub.|rpsp|0870-9025|0870-9025||Escola Nacional de Saúde Pública
Portugal|Revista Portuguesa e Brasileira de Gestão||Rev. Portuguesa e Brasileira de Gestão|rpbg|1645-4464|1645-4464||INDEG-IUL - ISCTE Executive Education|by-nc/4.0
Pepsic|Revista Psicologia e Saúde||Rev. Psicol. Saúde|rpsaude|2177-093X||2177-093X|Universidade Católica Dom Bosco, Programa de Mestrado e Doutorado em Psicologia
Pepsic|Revista Psicologia Organizações e Trabalho||Rev. Psicol., Organ. Trab.|rpot|1984-6657||1984-6657|Sociedade Brasileira de Psicologia Organizacional e do Trabalho|by-nc/4.0
Pepsic|Revista Psicologia Política||Rev. psicol. polít.|rpp|1519-549X|1519-549X||Sociedade Brasileira de Psicologia Política
Pepsic|Revista Psicopedagogia||Rev. psicopedag.|psicoped|0103-8486|0103-8486||Associacao Brasileira de Psicopedagogia|by/4.0
Pepsic|Revista Puertorriqueña de Psicología||Rev. Puertorriq. Psicol.|reps|1946-2026|1946-2026||Asociación de Psicología de Puerto Rico|by-nc/4.0
Costa Rica|Revista Reflexiones||Reflexiones|reflexiones|1659-2859|1659-2859|1021-1209|Universidad de Costa Rica, Facultad de Ciencias Sociales|by-nc/3.0
Argentina|Revista SAAP||Revista SAAP|rsaap|1853-1970||1853-1970|Sociedad Argentina de Análisis Político|by-nc/4.0
Colombia|Revista Salud Uninorte||Salud, Barranquilla|sun|0120-5552|0120-5552|2011-7531|Fundación Universidad del Norte, División de Ciencias de la|by/4.0
Chile|Revista signos||Rev. signos|signos|0718-0934||0718-0934|Pontificia Universidad Católica de Valparaíso<br> Instituto de Literatura y Ciencias del Lenguaje|by-nc/4.0
Pepsic|Revista Sul-Americana de Psicologia||Rev. Sul-Am. Psicol.|revsulap|2318-650X||2318-650X|Centro Universita´rio Salesiano de São Paulo - UNISAL|by-nc/4.0
Argentina|Revista TEFROS||Rev. TEFROS|tefros|1669-726X||1669-726X|Taller de Etnohistoria de la Frontera Sur, Laboratorio de Arqueología y Etnohistoria, Departamento de Historia, Facultad de Ciencias Humanas, Universidad Nacional de Río Cuarto|by-nc/4.0
Argentina|Revista Transporte y Territorio||Rev. transp. territ.|retyt|1852-7175|1852-7175||Programa Transporte y Territorio, Instituto de Geografía, Universidad de Buenos Aires|by-nc/4.0
Venezuela|Revista Técnica de la Facultad de Ingeniería Universidad del Zulia||Rev. Téc. Ing. Univ. Zulia|rtfiuz|0254-0770|0254-0770||Facultad de Ingeniería, Universidad del Zulia
Colombia|Revista U.D.C.A Actualidad & Divulgación Científica||rev.udcaactual.divulg.cient.|rudca|0123-4226|0123-4226||Universidad de Ciencias Aplicadas y Ambientales
Argentina|Revista Universitaria de Geografía||Rev. Univ. geogr.|reuge|1852-4265||1852-4265|Departamento de Geografía y Turismo. Universidad Nacional del Sur.|by-nc/4.0
Uruguay|Revista Uruguaya de Cardiología||Rev.Urug.Cardiol.|ruc|1688-0420||1688-0420|Sociedad Uruguaya de Cardiología|by-nc/4.0
Social Sciences|Revista Uruguaya de Ciencia Política||Rev.urug.cienc.polít.|s_rucp|0797-9789|0797-9789||Instituto de Ciência Política|by-nc/4.0
Uruguay|Revista Uruguaya de Ciencia Política||Rev. Urug. Cienc. Polít.|rucp|1688-499X||1688-499X|Universidad de la República. Facultad de Ciencias Sociales. Instituto de Ciencia Política.|by-nc/4.0
Venezuela|Revista Venezolana de Economía y Ciencias Sociales||Revista Venezolana de Economía y Ciencias Sociales|rvecs|1315-6411|20030507|1315-6411|Universidad Central de Venezuela, Caracas
Venezuela|Revista Venezolana de Endocrinología y Metabolismo||Rev. Venez. Endocrinol. Metab.|rvdem|1690-3110|1690-3110||Sociedad Venezolana de Endocrinología y Metabolismo
Venezuela|Revista Venezolana de Estudios de la Mujer||Revista Venezolana de Estudios de la Mujer|rvem|1316-3701|1316-3701||Universidad Central de Venezuela. Centro de Estudios de la Mujer
Venezuela|Revista Venezolana de Gerencia||Revista Venezolana de Gerencia|rvg|1315-9984|1315-9984||UNIVERSIDAD ZULIA
Venezuela|Revista Venezolana de Oncología||Rev. venez. oncol.|rvo|0798-0582|0798-0582|| Casa publicadora Ateproca C.A
Argentina|Revista veterinaria||Rev. vet.|revet|1669-6840||1669-6840|Universidad Nacional del Nordeste, Facultad de Ciencias Veterinarias|by-nc/4.0
Brazil|Revista Árvore||Rev. Árvore|rarv|0100-6762|0100-6762|1806-9088|Sociedade de Investigações Florestais|by/4.0
Costa Rica|Revistas de Ciencias Administrativas y Financieras de la Seguridad Social||Rev. cienc. adm. financ. segur. soc|rcafss|1409-1259|1409-1259||Editorial Nacional de Salud y Seguridad Social
Brazil|RGO - Revista Gaúcha de Odontologia||RGO, Rev. Gaúch. Odontol.|rgo|1981-8637||1981-8637|Faculdade São Leopoldo Mandic|by-nc/4.0
Argentina|RIA. Revista de investigaciones agropecuarias||RIA. Rev. investig. agropecu.|ria|1669-2314||1669-2314|Instituto Nacional de Tecnologia Agropecuaria (INTA)|by-nc/4.0
